
 *************************************** 
 ID : 	 138a65991bfda8762b29c2621587917e 
 Status :  	 401 
 Delay :  	 649.573 ms 
 Status Message :  	 Unauthorized 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 5a2f535327256cfec0215303ad2b58bf 
 Time :  	 [2025/9/24 02:13:50] 
 Method :  	 POST 
 Path :  	 /users/login 
 Status :  	 403 
 Delay :  	 164.405 ms 
 Status Message :  	 Forbidden 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 67929558f74234048104583b23e8cb2e 
 Time :  	 [2025/9/24 21:14:04] 
 Method :  	 PUT 
 Path :  	 /users/1 
 Status :  	 500 
 Delay :  	 25.307 ms 
 Status Message :  	 Internal Server Error 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 305df1ca4cddd75ed208b8812d8da3b4 
 Time :  	 [2025/9/24 21:15:27] 
 Method :  	 PUT 
 Path :  	 /users/1 
 Status :  	 404 
 Delay :  	 19.873 ms 
 Status Message :  	 Not Found 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 a78dc99e387598a457389209c07bafba 
 Time :  	 [2025/9/24 21:15:53] 
 Method :  	 POST 
 Path :  	 /users/login 
 Status :  	 403 
 Delay :  	 160.834 ms 
 Status Message :  	 Forbidden 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 5a3fd60ad070bb96fc9494c047d52b26 
 Time :  	 [2025/9/24 21:16:16] 
 Method :  	 PUT 
 Path :  	 /users/1 
 Status :  	 404 
 Delay :  	 3.702 ms 
 Status Message :  	 Not Found 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 dbfe490c05b8c5d24dfe35e33b99ee61 
 Time :  	 [2025/9/24 21:16:19] 
 Method :  	 PUT 
 Path :  	 /users/1 
 Status :  	 401 
 Delay :  	 0.588 ms 
 Status Message :  	 Unauthorized 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 9da351d90cdb9e32176ad9380f1e4623 
 Time :  	 [2025/9/24 21:16:24] 
 Method :  	 PUT 
 Path :  	 /users/1 
 Status :  	 404 
 Delay :  	 3.155 ms 
 Status Message :  	 Not Found 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 70bbec20e9359185bfd4f58d30bc6175 
 Time :  	 [2025/9/24 21:19:09] 
 Method :  	 PUT 
 Path :  	 /users/68cee8fb7f590b38a0c08f0c 
 Status :  	 400 
 Delay :  	 154.686 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 4abaf0cd48461129f0ba59fdf61e24a3 
 Time :  	 [2025/9/24 21:19:18] 
 Method :  	 PUT 
 Path :  	 /users/68cee8fb7f590b38a0c08f0c 
 Status :  	 400 
 Delay :  	 149.557 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 579e9d26e11d47a5e8d34e7387c12a61 
 Time :  	 [2025/9/24 21:20:44] 
 Method :  	 PUT 
 Path :  	 /users/68cee8fb7f590b38a0c08f0c 
 Status :  	 403 
 Delay :  	 146.222 ms 
 Status Message :  	 Forbidden 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 5f66e541e8c2e37faf85b134d4d13e5e 
 Time :  	 [2025/9/24 21:21:41] 
 Method :  	 PUT 
 Path :  	 /users/68cee8fb7f590b38a0c08f0c 
 Status :  	 400 
 Delay :  	 145.447 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 4eb625f37f1d501270411596d98f787d 
 Time :  	 [2025/9/24 21:21:59] 
 Method :  	 PUT 
 Path :  	 /users/68cee8fb7f590b38a0c08f0c 
 Status :  	 400 
 Delay :  	 147.274 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 f4a9fb300e24deb0fcf05fd4784f1331 
 Time :  	 [2025/9/24 21:50:57] 
 Method :  	 PATCH 
 Path :  	 /users/68cee8fb7f590b38a0c08f0c 
 Status :  	 400 
 Delay :  	 131.006 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 f34978925fd6065345449bbf90eee076 
 Time :  	 [2025/9/24 21:51:41] 
 Method :  	 PATCH 
 Path :  	 /users/68cee8fb7f590b38a0c08f0c 
 Status :  	 400 
 Delay :  	 389.310 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 c87afbb83dd0d476bb43c554b374ffa7 
 Time :  	 [2025/9/24 21:53:36] 
 Method :  	 PATCH 
 Path :  	 /users/68cee8fb7f590b38a0c08f0c 
 Status :  	 400 
 Delay :  	 178.417 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
